MS Dhoni
AC Gilchrist
Q de Kock
RR Pant
KL Rahul
KD Karthik
RV Uthappa
WP Saha
PA Patel
NV Ojha
Ishan Kishan
SV Samson
JC Buttler
JM Bairstow
MS Bisla
H Klaasen
JP Inglis
DP Conway
Dhruv Jurel
Abishek Porel
Anuj Rawat
KS Bharat
N Pooran
Rahmanullah Gurbaz
GD Phillips
P Simran Singh
JM Sharma
KC Sangakkara
MS Wade
AT Carey
PD Salt
T Banton
SW Billings
Vishnu Vinod
B Indrajith
N Jagadeesan
BB McCullum
AT Rayudu
TL Seifert
Kumar Kushagra
Urvil Patel
L Ronchi
RD Rickelton
MV Boucher
Kamran Akmal
DH Yagnik
CM Gautam
YV Takawale
SP Goswami
AP Tare
DJ Jacobs
MN van Wyk
T Taibu
TD Paine
SD Hope
KB Arun Karthik
PR Shah
AG Paunikar
M Rawat
MD Mishra
N Saini
SP Jackson
AB de Villiers
